Offset MPU6050
Tiempo total: 1002
Offset AcX = 366.83 | Offset AcY = 4039.03 | Offset AcZ = 342.28
Offset GiX = -65.11 | Offset GiY = -37.98 | Offset GiZ = 5.20
Resultados MPU6050
AcX = 2824.00 | AcY = 800.00 | AcZ = 1309.00 | GiX = 2599.00 | GiY = 158.00 | GiZ = -6149.00 | Tiempo: 63376
AcX = 2404.00 | AcY = 552.00 | AcZ = 1185.00 | GiX = 2537.00 | GiY = -45.00 | GiZ = -6601.00 | Tiempo: 63871
AcX = 2028.00 | AcY = 440.00 | AcZ = 763.00 | GiX = 2637.00 | GiY = 52.00 | GiZ = -7193.00 | Tiempo: 64366
AcX = 2060.00 | AcY = 220.00 | AcZ = 819.00 | GiX = 2777.00 | GiY = 334.00 | GiZ = -7608.00 | Tiempo: 64861
AcX = 2331.00 | AcY = -118.00 | AcZ = 898.00 | GiX = 2822.00 | GiY = 245.00 | GiZ = -7843.00 | Tiempo: 65356
AcX = 2348.00 | AcY = -370.00 | AcZ = 831.00 | GiX = 2711.00 | GiY = -54.00 | GiZ = -8072.00 | Tiempo: 65851
AcX = 2223.00 | AcY = -545.00 | AcZ = 839.00 | GiX = 2656.00 | GiY = -374.00 | GiZ = -8423.00 | Tiempo: 66346
AcX = 1699.00 | AcY = -751.00 | AcZ = 760.00 | GiX = 2585.00 | GiY = -737.00 | GiZ = -8538.00 | Tiempo: 66841
AcX = 1058.00 | AcY = -987.00 | AcZ = 249.00 | GiX = 2316.00 | GiY = -783.00 | GiZ = -8568.00 | Tiempo: 67336
AcX = 686.00 | AcY = -1128.00 | AcZ = 190.00 | GiX = 1901.00 | GiY = -633.00 | GiZ = -8681.00 | Tiempo: 67831
AcX = 535.00 | AcY = -996.00 | AcZ = 286.00 | GiX = 1523.00 | GiY = -587.00 | GiZ = -8702.00 | Tiempo: 68326
AcX = 319.00 | AcY = -757.00 | AcZ = 416.00 | GiX = 1116.00 | GiY = -805.00 | GiZ = -8576.00 | Tiempo: 68821
AcX = 86.00 | AcY = -425.00 | AcZ = 346.00 | GiX = 803.00 | GiY = -1123.00 | GiZ = -8319.00 | Tiempo: 69316
AcX = -99.00 | AcY = -187.00 | AcZ = 112.00 | GiX = 720.00 | GiY = -1164.00 | GiZ = -8080.00 | Tiempo: 69811
AcX = 7.00 | AcY = -272.00 | AcZ = -50.00 | GiX = 819.00 | GiY = -1143.00 | GiZ = -7656.00 | Tiempo: 70306
AcX = -203.00 | AcY = -679.00 | AcZ = -172.00 | GiX = 808.00 | GiY = -1609.00 | GiZ = -7028.00 | Tiempo: 70801
AcX = -987.00 | AcY = -1233.00 | AcZ = -815.00 | GiX = 414.00 | GiY = -1813.00 | GiZ = -6262.00 | Tiempo: 71296
AcX = -1675.00 | AcY = -1562.00 | AcZ = -1003.00 | GiX = -231.00 | GiY = -1592.00 | GiZ = -5839.00 | Tiempo: 71791
AcX = -2088.00 | AcY = -992.00 | AcZ = -782.00 | GiX = -1060.00 | GiY = -933.00 | GiZ = -5747.00 | Tiempo: 72286
AcX = -1738.00 | AcY = 150.00 | AcZ = -139.00 | GiX = -1313.00 | GiY = -621.00 | GiZ = -5640.00 | Tiempo: 72781
AcX = -1411.00 | AcY = 924.00 | AcZ = -18.00 | GiX = -1050.00 | GiY = -576.00 | GiZ = -5435.00 | Tiempo: 73276
AcX = -1552.00 | AcY = 1378.00 | AcZ = 36.00 | GiX = -523.00 | GiY = -768.00 | GiZ = -5239.00 | Tiempo: 73771
AcX = -2635.00 | AcY = 1699.00 | AcZ = -227.00 | GiX = 301.00 | GiY = -493.00 | GiZ = -5415.00 | Tiempo: 74266
AcX = -3111.00 | AcY = 1467.00 | AcZ = -380.00 | GiX = 1100.00 | GiY = 366.00 | GiZ = -5688.00 | Tiempo: 74761
AcX = -2507.00 | AcY = 510.00 | AcZ = -551.00 | GiX = 1651.00 | GiY = 1461.00 | GiZ = -5697.00 | Tiempo: 75256
AcX = -1535.00 | AcY = -526.00 | AcZ = -369.00 | GiX = 1728.00 | GiY = 1482.00 | GiZ = -5537.00 | Tiempo: 75751
AcX = -947.00 | AcY = -1190.00 | AcZ = -280.00 | GiX = 1267.00 | GiY = 946.00 | GiZ = -5309.00 | Tiempo: 76246
AcX = -394.00 | AcY = -1437.00 | AcZ = 34.00 | GiX = 849.00 | GiY = 448.00 | GiZ = -4882.00 | Tiempo: 76741
AcX = 713.00 | AcY = -1241.00 | AcZ = 1029.00 | GiX = 202.00 | GiY = -1607.00 | GiZ = -4269.00 | Tiempo: 77236
AcX = 173.00 | AcY = -366.00 | AcZ = 1075.00 | GiX = -164.00 | GiY = -3848.00 | GiZ = -3615.00 | Tiempo: 77730
AcX = -1916.00 | AcY = -192.00 | AcZ = 622.00 | GiX = -40.00 | GiY = -5734.00 | GiZ = -2923.00 | Tiempo: 78225
AcX = -4767.00 | AcY = -299.00 | AcZ = 41.00 | GiX = 217.00 | GiY = -5896.00 | GiZ = -3072.00 | Tiempo: 78720
AcX = -6784.00 | AcY = -401.00 | AcZ = -245.00 | GiX = 974.00 | GiY = -4438.00 | GiZ = -4376.00 | Tiempo: 79215
AcX = -7670.00 | AcY = -764.00 | AcZ = -647.00 | GiX = 1988.00 | GiY = -2504.00 | GiZ = -5924.00 | Tiempo: 79710
AcX = -7643.00 | AcY = -1832.00 | AcZ = -446.00 | GiX = 3070.00 | GiY = -529.00 | GiZ = -7349.00 | Tiempo: 80205
AcX = -6898.00 | AcY = -2610.00 | AcZ = 90.00 | GiX = 3813.00 | GiY = 635.00 | GiZ = -8454.00 | Tiempo: 80700
AcX = -6004.00 | AcY = -2125.00 | AcZ = 1696.00 | GiX = 3724.00 | GiY = -203.00 | GiZ = -7988.00 | Tiempo: 81195
AcX = -5308.00 | AcY = -1004.00 | AcZ = 2746.00 | GiX = 2498.00 | GiY = -3107.00 | GiZ = -5088.00 | Tiempo: 81690
