Offset MPU6050
Tiempo total: 1001
Offset AcX = 895.13 | Offset AcY = 3961.74 | Offset AcZ = 247.57
Offset GiX = -307.53 | Offset GiY = 9.32 | Offset GiZ = 13.84
Resultados MPU6050
AcX = -1021.00 | AcY = 2734.00 | AcZ = 1962.00 | GiX = -2564.00 | GiY = 6723.00 | GiZ = -7145.00 | Tiempo: 61395
AcX = -1153.00 | AcY = 2857.00 | AcZ = 1943.00 | GiX = -2454.00 | GiY = 6917.00 | GiZ = -7146.00 | Tiempo: 61890
AcX = -1196.00 | AcY = 2940.00 | AcZ = 1989.00 | GiX = -2284.00 | GiY = 6294.00 | GiZ = -7073.00 | Tiempo: 62385
AcX = -1230.00 | AcY = 2988.00 | AcZ = 2017.00 | GiX = -2172.00 | GiY = 6157.00 | GiZ = -6989.00 | Tiempo: 62880
AcX = -1253.00 | AcY = 3136.00 | AcZ = 2054.00 | GiX = -2194.00 | GiY = 5592.00 | GiZ = -7025.00 | Tiempo: 63375
AcX = -1346.00 | AcY = 3185.00 | AcZ = 2083.00 | GiX = -1897.00 | GiY = 5502.00 | GiZ = -7274.00 | Tiempo: 63870
AcX = -1389.00 | AcY = 3260.00 | AcZ = 2353.00 | GiX = -1724.00 | GiY = 4897.00 | GiZ = -7697.00 | Tiempo: 64365
AcX = -1560.00 | AcY = 3313.00 | AcZ = 2179.00 | GiX = -1699.00 | GiY = 4547.00 | GiZ = -8039.00 | Tiempo: 64860
AcX = -1590.00 | AcY = 3436.00 | AcZ = 2311.00 | GiX = -1678.00 | GiY = 3780.00 | GiZ = -8175.00 | Tiempo: 65355
AcX = -1723.00 | AcY = 3351.00 | AcZ = 2149.00 | GiX = -1702.00 | GiY = 3932.00 | GiZ = -8188.00 | Tiempo: 65850
AcX = -1849.00 | AcY = 3250.00 | AcZ = 2104.00 | GiX = -1831.00 | GiY = 3783.00 | GiZ = -7940.00 | Tiempo: 66345
AcX = -1924.00 | AcY = 3359.00 | AcZ = 2198.00 | GiX = -1841.00 | GiY = 3138.00 | GiZ = -7552.00 | Tiempo: 66840
AcX = -1964.00 | AcY = 3126.00 | AcZ = 2016.00 | GiX = -1127.00 | GiY = 3028.00 | GiZ = -7389.00 | Tiempo: 67335
AcX = -2070.00 | AcY = 3324.00 | AcZ = 2128.00 | GiX = -2160.00 | GiY = 2185.00 | GiZ = -7829.00 | Tiempo: 67830
AcX = -2058.00 | AcY = 3171.00 | AcZ = 1925.00 | GiX = -2007.00 | GiY = 2039.00 | GiZ = -7645.00 | Tiempo: 68325
AcX = -1854.00 | AcY = 3186.00 | AcZ = 2298.00 | GiX = -1766.00 | GiY = 970.00 | GiZ = -7848.00 | Tiempo: 68820
AcX = -1918.00 | AcY = 3208.00 | AcZ = 1693.00 | GiX = -1449.00 | GiY = 1512.00 | GiZ = -8018.00 | Tiempo: 69315
AcX = -2122.00 | AcY = 3326.00 | AcZ = 2298.00 | GiX = -1099.00 | GiY = 335.00 | GiZ = -7871.00 | Tiempo: 69810
AcX = -2332.00 | AcY = 3380.00 | AcZ = 1531.00 | GiX = -920.00 | GiY = 1211.00 | GiZ = -7347.00 | Tiempo: 70305
AcX = -2292.00 | AcY = 3434.00 | AcZ = 2108.00 | GiX = -830.00 | GiY = -33.00 | GiZ = -7208.00 | Tiempo: 70800
AcX = -2368.00 | AcY = 3328.00 | AcZ = 1605.00 | GiX = -64.00 | GiY = 953.00 | GiZ = -7262.00 | Tiempo: 71295
AcX = -2320.00 | AcY = 3335.00 | AcZ = 2030.00 | GiX = 692.00 | GiY = 1247.00 | GiZ = -7746.00 | Tiempo: 71790
AcX = -2486.00 | AcY = 3385.00 | AcZ = 1854.00 | GiX = 1540.00 | GiY = 1246.00 | GiZ = -7699.00 | Tiempo: 72285
AcX = -2502.00 | AcY = 3378.00 | AcZ = 1789.00 | GiX = 2155.00 | GiY = 1665.00 | GiZ = -7538.00 | Tiempo: 72780
AcX = -2818.00 | AcY = 3547.00 | AcZ = 1646.00 | GiX = 2007.00 | GiY = 1777.00 | GiZ = -7307.00 | Tiempo: 73275
AcX = -2722.00 | AcY = 3671.00 | AcZ = 1952.00 | GiX = 1643.00 | GiY = 716.00 | GiZ = -6356.00 | Tiempo: 73770
AcX = -2755.00 | AcY = 3545.00 | AcZ = 1525.00 | GiX = 1561.00 | GiY = 480.00 | GiZ = -6014.00 | Tiempo: 74265
