---- Opened the serial port COM7 ----
Offset MPU6050
Tiempo total: 1002
Offset AcX = 1195.31 | Offset AcY = 3883.34 | Offset AcZ = 256.59
Offset GiX = -91.78 | Offset GiY = -64.30 | Offset GiZ = -4.98
Resultados MPU6050
AcX = 498.00 | AcY = 4117.00 | AcZ = -361.00 | GiX = -3585.00 | GiY = -11351.00 | GiZ = -272.00 | Tiempo: 63870
AcX = 566.00 | AcY = 4119.00 | AcZ = -422.00 | GiX = -3476.00 | GiY = -10976.00 | GiZ = -320.00 | Tiempo: 64365
AcX = 636.00 | AcY = 4147.00 | AcZ = -422.00 | GiX = -3339.00 | GiY = -10565.00 | GiZ = -332.00 | Tiempo: 64860
AcX = 671.00 | AcY = 4093.00 | AcZ = -434.00 | GiX = -3232.00 | GiY = -10130.00 | GiZ = -321.00 | Tiempo: 65355
AcX = 692.00 | AcY = 4097.00 | AcZ = -509.00 | GiX = -3140.00 | GiY = -9659.00 | GiZ = -360.00 | Tiempo: 65850
AcX = 690.00 | AcY = 4038.00 | AcZ = -531.00 | GiX = -3018.00 | GiY = -9167.00 | GiZ = -347.00 | Tiempo: 66345
AcX = 687.00 | AcY = 4057.00 | AcZ = -542.00 | GiX = -2876.00 | GiY = -8657.00 | GiZ = -321.00 | Tiempo: 66840
AcX = 681.00 | AcY = 4027.00 | AcZ = -570.00 | GiX = -2677.00 | GiY = -8166.00 | GiZ = -304.00 | Tiempo: 67335
AcX = 677.00 | AcY = 4002.00 | AcZ = -645.00 | GiX = -2506.00 | GiY = -7601.00 | GiZ = -367.00 | Tiempo: 67830
AcX = 748.00 | AcY = 3968.00 | AcZ = -651.00 | GiX = -2359.00 | GiY = -7092.00 | GiZ = -403.00 | Tiempo: 68325
AcX = 815.00 | AcY = 3988.00 | AcZ = -626.00 | GiX = -2235.00 | GiY = -6557.00 | GiZ = -398.00 | Tiempo: 68820
AcX = 811.00 | AcY = 3938.00 | AcZ = -698.00 | GiX = -2124.00 | GiY = -6026.00 | GiZ = -363.00 | Tiempo: 69315
AcX = 885.00 | AcY = 3941.00 | AcZ = -710.00 | GiX = -1970.00 | GiY = -5449.00 | GiZ = -348.00 | Tiempo: 69810
AcX = 953.00 | AcY = 3960.00 | AcZ = -686.00 | GiX = -1836.00 | GiY = -4890.00 | GiZ = -285.00 | Tiempo: 70305
AcX = 942.00 | AcY = 3921.00 | AcZ = -609.00 | GiX = -1718.00 | GiY = -4377.00 | GiZ = -204.00 | Tiempo: 70800
AcX = 915.00 | AcY = 3962.00 | AcZ = -613.00 | GiX = -1583.00 | GiY = -3819.00 | GiZ = -168.00 | Tiempo: 71295
